Table KS17 Cars or Vans*
Table population: All households
Geographical level: Output Area 

,"All households","Percentage of households with cars or vans None","Percentage of households with cars or vans One","Percentage of households with cars or vans Two","Percentage of households with cars or vans Three","Percentage of households with cars or vans Four or more","Total number of cars or vans in the area"
"60QA000107",52,51.92,42.31,5.77,-,-,28
"60QA000108",75,49.33,41.33,9.33,-,-,45
"60QA000109",43,53.49,34.88,11.63,-,-,25
"60QA000110",76,57.89,40.79,1.32,-,-,33
"60QA000111",55,58.18,38.18,3.64,-,-,25
"60QA000112",32,50.00,46.88,3.13,-,-,17
"60QA000113",25,44.00,56.00,-,-,-,14
"60QA000114",44,70.45,29.55,-,-,-,13
"60QA000115",49,67.35,30.61,2.04,-,-,17
"60QA000116",45,66.67,33.33,-,-,-,15
"60QA000117",56,62.50,26.79,7.14,1.79,1.79,30
"60QA000118",47,44.68,42.55,12.77,-,-,32
"60QA000119",50,62.00,30.00,6.00,2.00,-,24
"60QA000120",40,50.00,32.50,10.00,7.50,-,30
"60QA000121",73,58.90,38.36,-,2.74,-,34
"60QA000122",47,44.68,44.68,10.64,-,-,31
"60QA000123",50,38.00,40.00,22.00,-,-,42
"60QA000124",51,47.06,39.22,11.76,1.96,-,35
"60QA000125",50,58.00,34.00,6.00,2.00,-,26
"60QA000126",48,52.08,37.50,6.25,4.17,-,30
"60QA000127",71,66.20,28.17,5.63,-,-,28
"60QA000128",48,60.42,35.42,4.17,-,-,21
"60QA000129",47,63.83,31.91,4.26,-,-,19
"60QA000130",39,41.03,51.28,5.13,2.56,-,27
"60QA000131",72,62.50,30.56,5.56,1.39,-,33
"60QA000132",50,58.00,38.00,4.00,-,-,23
"60QA000133",46,19.57,58.70,19.57,2.17,-,48
"60QA000134",39,64.10,33.33,2.56,-,-,15
"60QA000135",37,67.57,27.03,2.70,2.70,-,15
"60QA000136",52,32.69,63.46,3.85,-,-,37
"60QA000137",41,39.02,46.34,12.20,2.44,-,32
"60QA000138",62,29.03,56.45,12.90,1.61,-,54
"60QA000139",55,29.09,47.27,23.64,-,-,52
"60QA000140",47,57.45,31.91,8.51,2.13,-,26
"60QA000141",39,53.85,38.46,7.69,-,-,21
"60QA000142",29,48.28,48.28,3.45,-,-,16
"60QA000143",57,61.40,35.09,3.51,-,-,24
"60QA000144",64,65.63,31.25,1.56,1.56,-,25
"60QA000145",82,69.51,28.05,1.22,1.22,-,28
"60QA000146",45,82.22,15.56,2.22,-,-,9
"60QA000147",48,66.67,18.75,12.50,-,2.08,25
"60QA000148",72,58.33,38.89,2.78,-,-,32
"60QA000149",43,72.09,23.26,2.33,-,2.33,17
"60QA000150",51,54.90,37.25,7.84,-,-,27
"60QA000151",60,6.67,40.00,40.00,10.00,3.33,98
"60QA000152",26,11.54,38.46,46.15,3.85,-,37
"60QA000153",36,19.44,58.33,16.67,5.56,-,39
"60QA000154",42,33.33,50.00,11.90,2.38,2.38,38
"60QA000155",40,45.00,50.00,5.00,-,-,24
"60QA000156",56,37.50,51.79,10.71,-,-,41
"60QA000157",42,40.48,52.38,4.76,-,2.38,30
"60QA000158",65,53.85,36.92,9.23,-,-,36
"60QA000159",45,42.22,51.11,6.67,-,-,29
"60QA000160",37,37.84,48.65,13.51,-,-,28
"60QA000161",40,30.00,55.00,12.50,2.50,-,35
"60QA000162",42,2.38,69.05,26.19,2.38,-,54
"60QA000163",43,39.53,46.51,9.30,2.33,2.33,35
"60QA000164",41,14.63,51.22,29.27,2.44,2.44,52
"60QA000165",41,2.44,60.98,34.15,-,2.44,59
"60QA000166",68,33.82,48.53,14.71,2.94,-,59
"60QA000167",59,33.90,52.54,11.86,1.69,-,48
"60QA000168",53,1.89,54.72,43.40,-,-,75
"60QA000169",50,6.00,50.00,42.00,2.00,-,70
"60QA000170",48,14.58,47.92,25.00,10.42,2.08,67
"60QA000171",47,82.98,14.89,2.13,-,-,9
"60QA000172",39,28.21,46.15,23.08,2.56,-,39
"60QA000173",46,30.43,52.17,13.04,-,4.35,45
"60QA000174",44,22.73,45.45,27.27,4.55,-,50
"60QA000175",59,35.59,45.76,16.95,-,1.69,51
"60QA000176",42,26.19,40.48,30.95,2.38,-,46
"60QA000177",45,20.00,64.44,13.33,2.22,-,44
"60QA000178",23,13.04,69.57,13.04,4.35,-,25
"60QA000179",32,40.63,53.13,6.25,-,-,21
"60QA000180",40,30.00,45.00,20.00,5.00,-,40
"60QA000181",44,31.82,50.00,13.64,4.55,-,40
"60QA000182",46,52.17,45.65,2.17,-,-,23
"60QA000183",49,40.82,48.98,10.20,-,-,34
"60QA000184",41,48.78,36.59,12.20,-,2.44,29
"60QA000185",58,44.83,43.10,8.62,1.72,1.72,42
"60QA000186",41,58.54,31.71,9.76,-,-,21
"60QA000187",77,64.94,31.17,2.60,-,1.30,32
"60QA000188",40,62.50,32.50,5.00,-,-,17
"60QA000189",41,29.27,58.54,12.20,-,-,34
"60QA000190",48,43.75,47.92,6.25,2.08,-,32
"60QA000191",52,23.08,51.92,17.31,5.77,1.92,58
"60QA000192",53,35.85,54.72,9.43,-,-,39
"60QA000193",42,33.33,59.52,4.76,2.38,-,32
"60QA000194",50,30.00,54.00,14.00,-,2.00,45
