Table KS17 Cars or Vans*
Table population: All households
Geographical level: Output Area 

,"All households","Percentage of households with cars or vans None","Percentage of households with cars or vans One","Percentage of households with cars or vans Two","Percentage of households with cars or vans Three","Percentage of households with cars or vans Four or more","Total number of cars or vans in the area"
"60QJ000508",60,8.33,51.67,31.67,8.33,-,84
"60QJ000509",48,33.33,52.08,8.33,6.25,-,42
"60QJ000510",40,32.50,40.00,20.00,7.50,-,41
"60QJ000511",47,53.19,40.43,6.38,-,-,25
"60QJ000512",42,52.38,33.33,7.14,7.14,-,29
"60QJ000513",72,8.33,69.44,19.44,2.78,-,84
"60QJ000514",63,39.68,47.62,11.11,1.59,-,47
"60QJ000515",51,54.90,37.25,3.92,3.92,-,29
"60QJ000516",42,38.10,45.24,9.52,7.14,-,36
"60QJ000517",51,37.25,45.10,11.76,3.92,1.96,45
"60QJ000518",39,48.72,38.46,12.82,-,-,25
"60QJ000519",42,64.29,21.43,11.90,2.38,-,22
"60QJ000520",50,32.00,56.00,10.00,-,2.00,44
"60QJ000521",49,44.90,38.78,14.29,2.04,-,36
"60QJ000522",46,43.48,39.13,8.70,6.52,2.17,39
"60QJ000523",41,56.10,31.71,12.20,-,-,23
"60QJ000524",67,34.33,46.27,16.42,2.99,-,59
"60QJ000525",61,54.10,34.43,9.84,1.64,-,36
"60QJ000526",59,69.49,23.73,6.78,-,-,22
"60QJ000527",41,51.22,41.46,7.32,-,-,23
"60QJ000528",52,53.85,38.46,5.77,1.92,-,29
"60QJ000529",47,55.32,34.04,10.64,-,-,26
"60QJ000530",38,52.63,42.11,5.26,-,-,20
"60QJ000531",49,61.22,36.73,2.04,-,-,20
"60QJ000532",82,71.95,24.39,3.66,-,-,26
"60QJ000533",69,59.42,31.88,8.70,-,-,34
"60QJ000534",76,72.37,21.05,5.26,1.32,-,27
"60QJ000535",29,58.62,24.14,17.24,-,-,17
"60QJ000536",54,72.22,27.78,-,-,-,15
"60QJ000537",46,63.04,26.09,4.35,6.52,-,25
"60QJ000538",70,68.57,27.14,4.29,-,-,25
"60QJ000539",66,51.52,46.97,1.52,-,-,33
"60QJ000540",61,78.69,19.67,1.64,-,-,14
"60QJ000541",75,64.00,29.33,5.33,-,1.33,34
"60QJ000542",29,72.41,24.14,-,-,3.45,11
"60QJ000543",56,57.14,39.29,3.57,-,-,26
"60QJ000544",50,40.00,54.00,6.00,-,-,33
"60QJ000545",44,59.09,36.36,4.55,-,-,20
"60QJ000546",43,65.12,25.58,6.98,2.33,-,20
"60QJ000547",52,61.54,36.54,1.92,-,-,21
"60QJ000548",57,61.40,29.82,8.77,-,-,27
"60QJ000549",62,61.29,37.10,1.61,-,-,25
"60QJ000550",42,47.62,45.24,7.14,-,-,25
"60QJ000551",61,52.46,42.62,4.92,-,-,32
"60QJ000552",47,76.60,23.40,-,-,-,11
"60QJ000553",66,60.61,33.33,6.06,-,-,30
"60QJ000554",55,58.18,38.18,3.64,-,-,25
"60QJ000555",68,32.35,57.35,10.29,-,-,53
"60QJ000556",53,56.60,41.51,1.89,-,-,24
"60QJ000557",75,66.67,24.00,9.33,-,-,32
"60QJ000558",65,75.38,16.92,7.69,-,-,21
"60QJ000559",46,67.39,30.43,2.17,-,-,16
"60QJ000560",64,71.88,25.00,3.13,-,-,20
"60QJ000561",40,57.50,35.00,5.00,2.50,-,21
"60QJ000562",67,67.16,28.36,4.48,-,-,25
"60QJ000563",54,88.89,11.11,-,-,-,6
"60QJ000564",65,50.77,43.08,6.15,-,-,36
"60QJ000565",48,52.08,39.58,8.33,-,-,27
"60QJ000566",62,41.94,48.39,4.84,4.84,-,45
"60QJ000567",39,56.41,43.59,-,-,-,17
"60QJ000568",65,61.54,33.85,4.62,-,-,28
"60QJ000569",43,55.81,41.86,2.33,-,-,20
"60QJ000570",80,30.00,55.00,15.00,-,-,68
"60QJ000571",61,59.02,36.07,4.92,-,-,28
"60QJ000572",45,42.22,44.44,8.89,4.44,-,34
"60QJ000573",63,50.79,46.03,3.17,-,-,33
"60QJ000574",51,23.53,52.94,21.57,1.96,-,52
"60QJ000575",39,28.21,66.67,2.56,2.56,-,31
"60QJ000576",45,8.89,44.44,37.78,6.67,2.22,67
"60QJ000577",42,16.67,47.62,23.81,11.90,-,55
"60QJ000578",63,41.27,52.38,4.76,1.59,-,42
"60QJ000579",60,15.00,46.67,30.00,6.67,1.67,80
"60QJ000580",30,26.67,46.67,20.00,6.67,-,32
"60QJ000581",51,5.88,33.33,50.98,9.80,-,84
"60QJ000582",50,8.00,56.00,34.00,2.00,-,65
"60QJ000583",39,23.08,46.15,28.21,2.56,-,43
"60QJ000584",53,3.77,54.72,35.85,5.66,-,76
"60QJ000585",52,17.31,42.31,38.46,1.92,-,65
"60QJ000586",47,21.28,48.94,29.79,-,-,51
"60QJ000587",52,13.46,38.46,38.46,7.69,1.92,78
"60QJ000588",43,6.98,41.86,41.86,6.98,2.33,69
"60QJ000589",51,7.84,50.98,31.37,7.84,1.96,75
"60QJ000590",62,22.58,50.00,25.81,1.61,-,66
"60QJ000591",44,25.00,52.27,13.64,9.09,-,47
"60QJ000592",70,21.43,60.00,18.57,-,-,68
"60QJ000593",66,13.64,68.18,12.12,6.06,-,73
"60QJ000594",58,17.24,43.10,31.03,5.17,3.45,78
"60QJ000595",49,20.41,48.98,26.53,2.04,2.04,58
"60QJ000596",56,19.64,53.57,19.64,7.14,-,64
"60QJ000597",58,27.59,63.79,8.62,-,-,47
"60QJ000598",42,40.48,54.76,4.76,-,-,27
"60QJ000599",46,56.52,30.43,10.87,2.17,-,27
"60QJ000600",56,73.21,26.79,-,-,-,15
"60QJ000601",72,70.83,22.22,6.94,-,-,26
"60QJ000602",68,50.00,44.12,4.41,-,1.47,40
"60QJ000603",49,51.02,44.90,4.08,-,-,26
"60QJ000604",51,62.75,35.29,1.96,-,-,20
"60QJ000605",40,65.00,30.00,5.00,-,-,16
"60QJ000606",49,38.78,48.98,10.20,2.04,-,37
"60QJ000607",47,61.70,38.30,-,-,-,18
"60QJ000608",53,39.62,47.17,13.21,-,-,39
"60QJ000609",49,36.73,53.06,6.12,4.08,-,38
"60QJ000610",51,33.33,37.25,29.41,-,-,49
"60QJ000611",40,40.00,52.50,7.50,-,-,27
"60QJ000612",53,67.92,28.30,1.89,-,1.89,21
"60QJ000613",38,42.11,47.37,10.53,-,-,26
"60QJ000614",46,19.57,47.83,28.26,2.17,2.17,56
"60QJ000615",52,28.85,42.31,25.00,3.85,-,54
"60QJ000616",40,25.00,70.00,5.00,-,-,32
"60QJ000617",52,13.46,48.08,34.62,3.85,-,67
"60QJ000618",65,49.23,38.46,10.77,1.54,-,42
"60QJ000619",48,77.08,20.83,2.08,-,-,12
"60QJ000620",56,21.43,50.00,25.00,3.57,-,62
"60QJ000621",59,35.59,47.46,13.56,1.69,1.69,51
"60QJ000622",57,61.40,31.58,7.02,-,-,26
"60QJ000623",40,52.50,45.00,2.50,-,-,20
"60QJ000624",62,59.68,37.10,3.23,-,-,27
"60QJ000625",40,42.50,57.50,-,-,-,23
"60QJ000626",52,59.62,36.54,3.85,-,-,23
"60QJ000627",78,52.56,41.03,5.13,1.28,-,43
"60QJ000628",56,46.43,46.43,7.14,-,-,34
"60QJ000629",68,82.35,17.65,-,-,-,12
"60QJ000630",70,52.86,42.86,4.29,-,-,36
"60QJ000631",47,51.06,48.94,-,-,-,23
"60QJ000632",71,43.66,39.44,16.90,-,-,52
"60QJ000633",55,70.91,25.45,1.82,1.82,-,19
"60QJ000634",82,75.61,23.17,-,1.22,-,22
"60QJ000635",78,39.74,48.72,8.97,1.28,1.28,60
"60QJ000636",39,48.72,35.90,15.38,-,-,26
"60QJ000637",57,85.96,12.28,1.75,-,-,9
"60QJ000638",58,81.03,13.79,3.45,1.72,-,15
"60QJ000639",20,60.00,30.00,5.00,-,5.00,12
"60QJ000640",48,68.75,27.08,4.17,-,-,17
"60QJ000641",22,59.09,40.91,-,-,-,9
"60QJ000642",52,46.15,50.00,1.92,1.92,-,31
"60QJ000643",39,58.97,35.90,5.13,-,-,18
"60QJ000644",40,47.50,47.50,2.50,2.50,-,24
"60QJ000645",40,47.50,37.50,12.50,2.50,-,28
"60QJ000646",45,57.78,33.33,8.89,-,-,23
"60QJ000647",43,53.49,37.21,4.65,2.33,2.33,28
"60QJ000648",68,50.00,39.71,7.35,2.94,-,43
"60QJ000649",68,54.41,38.24,5.88,1.47,-,37
"60QJ000650",47,65.96,25.53,6.38,2.13,-,21
"60QJ000651",59,16.95,69.49,13.56,-,-,57
"60QJ000652",35,62.86,31.43,5.71,-,-,15
"60QJ000653",80,50.00,40.00,10.00,-,-,48
"60QJ000654",56,55.36,39.29,3.57,1.79,-,29
"60QJ000655",48,56.25,37.50,6.25,-,-,24
"60QJ000656",49,61.22,28.57,8.16,2.04,-,25
"60QJ000657",42,57.14,33.33,7.14,2.38,-,23
"60QJ000658",36,52.78,36.11,11.11,-,-,21
"60QJ000659",34,64.71,29.41,5.88,-,-,14
"60QJ000660",51,64.71,31.37,3.92,-,-,20
"60QJ000661",51,60.78,33.33,3.92,1.96,-,24
"60QJ000662",77,66.23,29.87,3.90,-,-,29
"60QJ000663",61,57.38,32.79,9.84,-,-,32
"60QJ000664",32,62.50,28.13,9.38,-,-,15
"60QJ000665",53,58.49,32.08,7.55,1.89,-,28
"60QJ000666",94,64.89,26.60,6.38,2.13,-,43
"60QJ000667",61,68.85,27.87,3.28,-,-,21
"60QJ000668",75,42.67,50.67,5.33,1.33,-,49
"60QJ000669",55,80.00,16.36,1.82,1.82,-,14
"60QJ000670",80,48.75,46.25,3.75,1.25,-,46
"60QJ000671",50,54.00,32.00,14.00,-,-,30
"60QJ000672",46,39.13,41.30,17.39,2.17,-,38
"60QJ000673",77,48.05,42.86,6.49,-,2.60,53
"60QJ000674",58,31.03,58.62,6.90,1.72,1.72,49
"60QJ000675",41,43.90,53.66,2.44,-,-,24
"60QJ000676",46,65.22,34.78,-,-,-,16
"60QJ000677",48,41.67,47.92,10.42,-,-,33
"60QJ000678",76,50.00,38.16,9.21,2.63,-,49
"60QJ000679",70,61.43,35.71,2.86,-,-,29
"60QJ000680",47,51.06,44.68,4.26,-,-,25
"60QJ000681",44,43.18,52.27,4.55,-,-,27
"60QJ000682",42,52.38,40.48,4.76,2.38,-,24
"60QJ000683",71,39.44,47.89,8.45,2.82,1.41,62
"60QJ000684",41,65.85,24.39,9.76,-,-,18
"60QJ000685",56,64.29,30.36,5.36,-,-,23
"60QJ000686",71,39.44,42.25,16.90,1.41,-,57
"60QJ000687",35,77.14,17.14,5.71,-,-,10
"60QJ000688",40,85.00,5.00,10.00,-,-,10
"60QJ000689",76,63.16,31.58,5.26,-,-,32
"60QJ000690",60,68.33,30.00,1.67,-,-,20
"60QJ000691",55,43.64,43.64,12.73,-,-,38
"60QJ000692",80,72.50,22.50,5.00,-,-,26
"60QJ000693",39,64.10,30.77,5.13,-,-,16
"60QJ000694",44,54.55,40.91,2.27,2.27,-,23
"60QJ000695",55,78.18,16.36,3.64,1.82,-,16
"60QJ000696",45,48.89,46.67,4.44,-,-,25
"60QJ000697",73,38.36,54.79,5.48,1.37,-,51
"60QJ000698",69,55.07,40.58,4.35,-,-,34
"60QJ000699",73,57.53,35.62,4.11,1.37,1.37,39
"60QJ000700",69,53.62,40.58,5.80,-,-,36
"60QJ000701",69,56.52,39.13,4.35,-,-,33
"60QJ000702",52,61.54,36.54,1.92,-,-,21
"60QJ000703",60,68.33,28.33,3.33,-,-,21
"60QJ000704",52,42.31,42.31,13.46,1.92,-,39
"60QJ000705",63,50.79,41.27,6.35,1.59,-,37
"60QJ000706",41,65.85,29.27,4.88,-,-,16
"60QJ000707",46,17.39,71.74,10.87,-,-,43
"60QJ000708",53,47.17,43.40,7.55,1.89,-,34
"60QJ000709",43,60.47,37.21,2.33,-,-,18
"60QJ000710",46,36.96,56.52,4.35,2.17,-,33
"60QJ000711",54,35.19,51.85,12.96,-,-,42
"60QJ000712",44,43.18,50.00,4.55,2.27,-,29
"60QJ000713",73,38.36,57.53,4.11,-,-,48
"60QJ000714",48,64.58,35.42,-,-,-,17
"60QJ000715",41,65.85,26.83,7.32,-,-,17
"60QJ000716",50,46.00,50.00,4.00,-,-,29
"60QJ000717",44,56.82,34.09,9.09,-,-,23
"60QJ000718",44,52.27,40.91,6.82,-,-,24
"60QJ000719",47,61.70,34.04,4.26,-,-,20
"60QJ000720",73,45.21,46.58,5.48,2.74,-,48
"60QJ000721",37,32.43,45.95,16.22,5.41,-,35
"60QJ000722",35,34.29,57.14,8.57,-,-,26
"60QJ000723",27,18.52,62.96,14.81,3.70,-,28
"60QJ000724",72,43.06,52.78,2.78,1.39,-,45
"60QJ000725",46,30.43,60.87,8.70,-,-,36
"60QJ000726",52,61.54,30.77,5.77,1.92,-,25
"60QJ000727",70,78.57,20.00,1.43,-,-,16
"60QJ000728",42,59.52,33.33,4.76,2.38,-,21
"60QJ000729",41,43.90,48.78,2.44,4.88,-,28
"60QJ000730",67,52.24,43.28,4.48,-,-,35
"60QJ000731",45,51.11,37.78,6.67,4.44,-,29
"60QJ000732",66,60.61,36.36,3.03,-,-,28
"60QJ000733",57,63.16,28.07,7.02,1.75,-,27
"60QJ000734",45,40.00,51.11,8.89,-,-,31
"60QJ000735",42,57.14,35.71,4.76,2.38,-,22
"60QJ000736",44,47.73,40.91,9.09,-,2.27,30
"60QJ000737",60,45.00,43.33,8.33,3.33,-,42
"60QJ000738",51,39.22,52.94,1.96,3.92,1.96,39
"60QJ000739",44,36.36,47.73,11.36,4.55,-,37
"60QJ000740",44,31.82,63.64,4.55,-,-,32
"60QJ000741",49,48.98,36.73,12.24,2.04,-,33
"60QJ000742",77,55.84,31.17,9.09,3.90,-,47
"60QJ000743",67,43.28,46.27,8.96,-,1.49,47
"60QJ000744",32,75.00,15.63,6.25,3.13,-,12
"60QJ000745",39,64.10,30.77,2.56,-,2.56,21
"60QJ000746",48,33.33,58.33,8.33,-,-,36
"60QJ000747",67,56.72,28.36,13.43,1.49,-,40
"60QJ000748",40,70.00,30.00,-,-,-,12
"60QJ000749",50,74.00,20.00,4.00,2.00,-,17
"60QJ000750",79,59.49,31.65,7.59,-,1.27,41
"60QJ000751",61,54.10,42.62,3.28,-,-,30
"60QJ000752",42,38.10,40.48,19.05,2.38,-,36
"60QJ000753",41,53.66,34.15,9.76,2.44,-,25
"60QJ000754",43,39.53,41.86,16.28,-,2.33,36
"60QJ000755",65,67.69,29.23,3.08,-,-,23
"60QJ000756",53,73.58,24.53,1.89,-,-,15
"60QJ000757",44,45.45,43.18,6.82,4.55,-,31
"60QJ000758",55,36.36,43.64,18.18,1.82,-,47
"60QJ000759",44,52.27,47.73,-,-,-,21
"60QJ000760",78,56.41,35.90,7.69,-,-,40
"60QJ000761",56,33.93,48.21,16.07,1.79,-,48
"60QJ000762",67,32.84,53.73,10.45,1.49,1.49,57
"60QJ000763",67,37.31,52.24,10.45,-,-,49
"60QJ000764",68,32.35,55.88,11.76,-,-,54
"60QJ000765",69,24.64,59.42,13.04,2.90,-,65
"60QJ000766",40,42.50,52.50,5.00,-,-,25
"60QJ000767",63,44.44,39.68,15.87,-,-,45
"60QJ000768",40,42.50,45.00,7.50,5.00,-,30
"60QJ000769",51,39.22,47.06,11.76,1.96,-,39
"60QJ000770",44,61.36,34.09,2.27,2.27,-,20
"60QJ000771",46,30.43,54.35,10.87,4.35,-,41
"60QJ000772",48,37.50,52.08,10.42,-,-,35
"60QJ000773",47,38.30,53.19,4.26,2.13,2.13,38
"60QJ000774",40,57.50,30.00,10.00,-,2.50,24
"60QJ000775",48,45.83,43.75,6.25,4.17,-,33
"60QJ000776",64,31.25,56.25,9.38,3.13,-,54
"60QJ000777",65,64.62,32.31,3.08,-,-,25
"60QJ000778",35,65.71,25.71,8.57,-,-,15
"60QJ000779",63,63.49,31.75,4.76,-,-,26
"60QJ000780",35,62.86,31.43,2.86,2.86,-,16
"60QJ000781",60,33.33,43.33,20.00,3.33,-,56
"60QJ000782",41,43.90,39.02,14.63,-,2.44,32
"60QJ000783",41,34.15,53.66,9.76,2.44,-,33
"60QJ000784",54,79.63,20.37,-,-,-,11
"60QJ000785",68,73.53,25.00,-,1.47,-,20
"60QJ000786",73,72.60,24.66,2.74,-,-,22
"60QJ000787",68,76.47,22.06,1.47,-,-,17
"60QJ000788",60,48.33,41.67,10.00,-,-,37
"60QJ000789",59,74.58,25.42,-,-,-,15
"60QJ000790",69,82.61,14.49,2.90,-,-,14
"60QJ000791",32,62.50,31.25,6.25,-,-,14
"60QJ000792",55,27.27,58.18,14.55,-,-,48
"60QJ000793",58,48.28,44.83,5.17,1.72,-,35
"60QJ000794",75,86.67,8.00,5.33,-,-,14
"60QJ000795",68,63.24,29.41,5.88,1.47,-,31
"60QJ000796",61,24.59,57.38,18.03,-,-,57
"60QJ000797",38,7.89,65.79,23.68,2.63,-,46
"60QJ000798",48,8.33,60.42,31.25,-,-,59
"60QJ000799",39,12.82,71.79,15.38,-,-,40
"60QJ000800",55,5.45,63.64,27.27,-,3.64,73
"60QJ000801",67,7.46,55.22,32.84,2.99,1.49,91
"60QJ000802",79,6.33,75.95,17.72,-,-,88
"60QJ000803",59,6.78,64.41,22.03,6.78,-,76
"60QJ000804",42,21.43,52.38,21.43,4.76,-,46
"60QJ000805",70,4.29,54.29,30.00,10.00,1.43,106
"60QJ000806",41,4.88,48.78,41.46,2.44,2.44,61
"60QJ000807",52,9.62,59.62,26.92,3.85,-,65
"60QJ000808",41,4.88,46.34,41.46,4.88,2.44,63
"60QJ000809",39,-,48.72,43.59,7.69,-,62
"60QJ000810",72,9.72,48.61,34.72,6.94,-,100
"60QJ000811",49,8.16,53.06,36.73,2.04,-,65
"60QJ000812",55,10.91,58.18,25.45,3.64,1.82,70
"60QJ000813",58,15.52,34.48,36.21,13.79,-,86
"60QJ000814",68,5.88,50.00,29.41,10.29,4.41,107
"60QJ000815",59,11.86,40.68,40.68,6.78,-,84
"60QJ000816",71,7.04,57.75,28.17,5.63,1.41,98
"60QJ000817",67,13.43,56.72,28.36,1.49,-,79
"60QJ000818",40,52.50,35.00,12.50,-,-,24
"60QJ000819",75,17.33,52.00,24.00,4.00,2.67,93
"60QJ000820",56,16.07,48.21,33.93,1.79,-,68
"60QJ000821",61,44.26,44.26,9.84,1.64,-,42
"60QJ000822",56,12.50,55.36,25.00,7.14,-,71
"60QJ000823",79,35.44,53.16,8.86,1.27,1.27,65
"60QJ000824",79,20.25,53.16,24.05,2.53,-,86
"60QJ000825",47,63.83,31.91,2.13,-,2.13,21
"60QJ000826",50,54.00,38.00,8.00,-,-,27
"60QJ000827",71,36.62,53.52,9.86,-,-,52
"60QJ000828",47,42.55,48.94,8.51,-,-,31
"60QJ000829",66,69.70,22.73,7.58,-,-,25
"60QJ000830",50,52.00,38.00,10.00,-,-,29
"60QJ000831",69,39.13,44.93,14.49,1.45,-,54
"60QJ000832",46,23.91,56.52,17.39,2.17,-,45
"60QJ000833",59,28.81,50.85,18.64,-,1.69,56
"60QJ000834",51,45.10,33.33,21.57,-,-,39
"60QJ000835",42,28.57,61.90,9.52,-,-,34
"60QJ000836",49,34.69,48.98,16.33,-,-,40
"60QJ000837",44,52.27,43.18,2.27,2.27,-,24
"60QJ000838",51,37.25,54.90,5.88,1.96,-,37
"60QJ000839",45,40.00,53.33,6.67,-,-,30
"60QJ000840",36,36.11,52.78,11.11,-,-,27
"60QJ000841",69,44.93,46.38,8.70,-,-,44
"60QJ000842",45,37.78,51.11,11.11,-,-,33
"60QJ000843",70,44.29,47.14,7.14,1.43,-,46
"60QJ000844",62,11.29,37.10,40.32,9.68,1.61,95
"60QJ000845",62,9.68,50.00,37.10,3.23,-,83
"60QJ000846",48,2.08,27.08,56.25,8.33,6.25,94
"60QJ000847",51,11.76,60.78,23.53,3.92,-,61
"60QJ000848",51,15.69,56.86,21.57,3.92,1.96,61
"60QJ000849",44,11.36,45.45,34.09,9.09,-,62
"60QJ000850",66,43.94,53.03,3.03,-,-,39
"60QJ000851",60,11.67,53.33,28.33,5.00,1.67,81
"60QJ000852",66,13.64,45.45,31.82,9.09,-,90
"60QJ000853",48,4.17,43.75,43.75,8.33,-,75
"60QJ000854",56,8.93,50.00,39.29,1.79,-,75
"60QJ000855",52,3.85,57.69,26.92,9.62,1.92,78
"60QJ000856",50,16.00,44.00,30.00,8.00,2.00,68
"60QJ000857",46,41.30,41.30,13.04,2.17,2.17,39
"60QJ000858",38,65.79,31.58,-,2.63,-,15
"60QJ000859",55,32.73,47.27,16.36,3.64,-,50
"60QJ000860",72,41.67,50.00,5.56,1.39,1.39,51
"60QJ000861",62,59.68,40.32,-,-,-,25
"60QJ000862",48,60.42,35.42,4.17,-,-,21
"60QJ000863",45,17.78,60.00,17.78,4.44,-,49
"60QJ000864",73,19.18,47.95,28.77,4.11,-,86
"60QJ000865",43,34.88,53.49,9.30,2.33,-,34
"60QJ000866",42,-,45.24,45.24,4.76,4.76,71
"60QJ000867",40,32.50,47.50,15.00,5.00,-,37
"60QJ000868",53,30.19,33.96,30.19,3.77,1.89,64
"60QJ000869",57,1.75,31.58,57.89,8.77,-,99
"60QJ000870",41,2.44,46.34,43.90,7.32,-,64
"60QJ000871",50,14.00,52.00,26.00,8.00,-,64
"60QJ000872",46,4.35,54.35,39.13,2.17,-,64
"60QJ000873",41,7.32,65.85,19.51,2.44,4.88,57
"60QJ000874",56,19.64,57.14,17.86,5.36,-,61
"60QJ000875",51,9.80,35.29,39.22,15.69,-,82
"60QJ000876",30,6.67,46.67,36.67,10.00,-,45
"60QJ000877",53,5.66,58.49,28.30,7.55,-,73
"60QJ000878",46,13.04,60.87,15.22,10.87,-,57
"60QJ000879",45,22.22,51.11,24.44,2.22,-,48
"60QJ000880",54,18.52,59.26,16.67,5.56,-,59
"60QJ000881",52,17.31,50.00,26.92,5.77,-,63
"60QJ000882",56,7.14,64.29,25.00,3.57,-,70
"60QJ000883",49,18.37,63.27,18.37,-,-,49
"60QJ000884",41,4.88,53.66,34.15,7.32,-,59
"60QJ000885",73,15.07,56.16,26.03,2.74,-,85
"60QJ000886",67,13.43,56.72,26.87,2.99,-,80
"60QJ000887",51,11.76,43.14,41.18,1.96,1.96,72
"60QJ000888",39,15.38,61.54,17.95,5.13,-,44
"60QJ000889",55,7.27,45.45,41.82,5.45,-,80
"60QJ000890",49,12.24,63.27,20.41,4.08,-,57
"60QJ000891",20,5.00,50.00,40.00,5.00,-,29
"60QJ000892",68,7.35,57.35,30.88,2.94,1.47,92
"60QJ000893",42,4.76,38.10,42.86,11.90,2.38,71
"60QJ000894",49,75.51,24.49,-,-,-,12
"60QJ000895",55,54.55,36.36,7.27,1.82,-,31
"60QJ000896",45,66.67,33.33,-,-,-,15
"60QJ000897",50,72.00,28.00,-,-,-,14
"60QJ000898",50,2.00,46.00,48.00,4.00,-,77
"60QJ000899",63,7.94,34.92,50.79,4.76,1.59,99
"60QJ000900",45,4.44,57.78,31.11,6.67,-,63
"60QJ000901",40,5.00,47.50,32.50,12.50,2.50,64
"60QJ000902",54,12.96,51.85,29.63,5.56,-,69
"60QJ000903",74,1.35,68.92,27.03,1.35,1.35,98
"60QJ000904",65,4.62,63.08,26.15,6.15,-,87
"60QJ000905",48,8.33,52.08,33.33,4.17,2.08,67
"60QJ000906",47,6.38,48.94,36.17,2.13,6.38,72
"60QJ000907",43,9.30,48.84,34.88,6.98,-,60
"60QJ000908",49,18.37,61.22,20.41,-,-,50
"60QJ000909",50,4.00,52.00,38.00,6.00,-,73
"60QJ000910",61,8.20,54.10,32.79,4.92,-,82
"60QJ000911",25,-,88.00,12.00,-,-,28
"60QJ000912",55,3.64,60.00,29.09,7.27,-,77
"60QJ000913",57,10.53,49.12,31.58,7.02,1.75,80
"60QJ000914",47,10.64,53.19,29.79,2.13,4.26,64
"60QJ000915",41,4.88,39.02,48.78,4.88,2.44,67
"60QJ000916",49,12.24,59.18,24.49,2.04,2.04,60
"60QJ000917",65,3.08,55.38,35.38,3.08,3.08,96
"60QJ000918",57,8.77,45.61,40.35,3.51,1.75,87
"60QJ000919",64,17.19,43.75,32.81,4.69,1.56,83
"60QJ000920",41,39.02,58.54,-,2.44,-,27
"60QJ000921",60,10.00,56.67,31.67,1.67,-,75
"60QJ000922",32,40.63,46.88,9.38,-,3.13,25
"60QJ000923",27,62.96,33.33,3.70,-,-,11
"60QJ000924",44,38.64,47.73,11.36,-,2.27,35
"60QJ000925",49,65.31,26.53,6.12,2.04,-,22
"60QJ000926",50,64.00,28.00,8.00,-,-,22
"60QJ000927",56,67.86,28.57,3.57,-,-,20
"60QJ000928",42,33.33,45.24,19.05,2.38,-,38
"60QJ000929",71,47.89,38.03,11.27,1.41,1.41,50
"60QJ000930",48,-,62.50,35.42,2.08,-,67
"60QJ000931",43,76.74,20.93,2.33,-,-,11
"60QJ000932",42,88.10,9.52,2.38,-,-,6
"60QJ000933",38,78.95,18.42,2.63,-,-,9
"60QJ000934",48,58.33,33.33,8.33,-,-,24
"60QJ000935",78,80.77,12.82,3.85,2.56,-,22
"60QJ000936",33,57.58,39.39,-,3.03,-,16
"60QJ000937",30,60.00,36.67,3.33,-,-,13
"60QJ000938",80,73.75,22.50,3.75,-,-,24
"60QJ000939",49,63.27,24.49,12.24,-,-,24
"60QJ000940",23,43.48,43.48,13.04,-,-,16
"60QJ000941",50,22.00,62.00,14.00,-,2.00,49
"60QJ000942",48,27.08,66.67,6.25,-,-,38
"60QJ000943",25,60.00,36.00,4.00,-,-,11
"60QJ000944",33,75.76,24.24,-,-,-,8
"60QJ000945",40,47.50,45.00,5.00,2.50,-,25
"60QJ000946",34,-,61.76,35.29,2.94,-,48
"60QJ000947",38,10.53,60.53,18.42,7.89,2.63,50
"60QJ000948",42,11.90,35.71,47.62,4.76,-,61
"60QJ000949",38,18.42,39.47,34.21,5.26,2.63,52
"60QJ000950",60,30.00,51.67,13.33,5.00,-,56
"60QJ000951",26,19.23,50.00,26.92,3.85,-,30
"60QJ000952",41,7.32,48.78,36.59,7.32,-,59
"60QJ000953",44,13.64,50.00,36.36,-,-,54
"60QJ000954",38,5.26,60.53,23.68,10.53,-,53
"60QJ000955",45,15.56,48.89,31.11,4.44,-,56
"60QJ000956",50,62.00,32.00,6.00,-,-,22
"60QJ000957",63,3.17,47.62,47.62,1.59,-,93
"60QJ000958",31,9.68,51.61,35.48,3.23,-,41
"60QJ000959",56,14.29,64.29,21.43,-,-,60
"60QJ000960",41,7.32,56.10,24.39,7.32,4.88,63
"60QJ000961",32,25.00,50.00,15.63,9.38,-,35
"60QJ000962",32,46.88,53.13,-,-,-,17
"60QJ000963",56,55.36,42.86,1.79,-,-,26
"60QJ000964",34,14.71,64.71,14.71,5.88,-,38
"60QJ000965",33,21.21,63.64,15.15,-,-,31
"60QJ000966",34,50.00,47.06,2.94,-,-,18
"60QJ000967",42,52.38,33.33,7.14,4.76,2.38,30
"60QJ000968",36,38.89,41.67,19.44,-,-,29
"60QJ000969",32,18.75,46.88,34.38,-,-,37
"60QJ000970",57,77.19,19.30,3.51,-,-,15
"60QJ000971",29,65.52,27.59,6.90,-,-,12
"60QJ000972",27,62.96,33.33,3.70,-,-,11
"60QJ000973",60,83.33,15.00,1.67,-,-,11
"60QJ000974",24,54.17,33.33,8.33,-,4.17,18
"60QJ000975",47,53.19,36.17,8.51,2.13,-,28
"60QJ000976",50,20.00,50.00,30.00,-,-,55
"60QJ000977",45,64.44,31.11,4.44,-,-,18
"60QJ000978",24,66.67,25.00,8.33,-,-,10
"60QJ000979",57,82.46,15.79,1.75,-,-,11
"60QJ000980",55,72.73,25.45,1.82,-,-,16
"60QJ000981",47,70.21,29.79,-,-,-,14
